,Date,Mean Pressure,Air Temperature Mean Maximum(deg.C),Air Temperature Mean(deg.C),Air Temperature Mean Minimum(deg.C),Wet Bulb(deg.C),Dew Point(deg. C),Relative Humidity(%),Mean Daily Rainfall(mm),Amount of Cloud(%),Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Oct,1012.0,29.1,26.8,25.1,23.7,22.3,77,6.0,64,5.6,080,27,27.1,27.5
1,2 Oct,1012.3,29.1,26.8,25.1,23.7,22.1,76,4.3,63,5.7,080,27,27.1,27.4
2,3 Oct,1012.4,29.1,26.8,25.0,23.6,21.9,76,5.8,62,5.9,080,27,27.1,27.3
3,4 Oct,1012.5,29.0,26.7,24.9,23.4,21.7,75,6.5,61,6.0,080,26,27.0,27.3
4,5 Oct,1012.5,28.9,26.6,24.8,23.2,21.4,74,5.8,60,6.2,080,24,27.0,27.3
5,6 Oct,1012.6,28.8,26.5,24.7,23.0,21.2,74,4.6,59,6.3,090,23,27.0,27.3
6,7 Oct,1012.8,28.7,26.4,24.5,22.8,20.9,73,4.4,59,6.3,090,23,27.0,27.3
7,8 Oct,1013.0,28.6,26.3,24.4,22.7,20.7,73,2.7,57,6.4,090,24,26.9,27.3
8,9 Oct,1013.3,28.5,26.3,24.5,22.7,20.8,73,2.3,57,6.4,080,25,26.9,27.3
9,10 Oct,1013.5,28.5,26.2,24.5,22.8,20.9,74,2.6,57,6.4,080,27,26.8,27.2
10,11 Oct,1013.7,28.4,26.2,24.5,22.8,21.1,74,3.4,58,6.3,080,28,26.8,27.1
11,12 Oct,1013.7,28.4,26.1,24.5,22.9,21.3,76,4.4,60,6.1,080,29,26.7,27.1
12,13 Oct,1013.8,28.3,26.1,24.4,23.0,21.4,76,5.0,62,5.9,080,29,26.7,27.0
13,14 Oct,1013.8,28.2,26.0,24.3,22.8,21.2,76,4.9,62,6.0,080,28,26.6,27.0
14,15 Oct,1013.8,28.1,25.9,24.2,22.7,21.0,76,4.9,61,6.0,080,28,26.6,26.9
15,16 Oct,1014.0,27.9,25.7,24.1,22.5,20.8,75,4.7,61,6.0,080,27,26.5,26.9
16,17 Oct,1014.2,27.8,25.6,23.9,22.3,20.4,74,3.6,60,6.2,080,27,26.5,26.8
17,18 Oct,1014.3,27.7,25.5,23.8,22.0,20.1,73,3.0,58,6.3,080,28,26.4,26.7
18,19 Oct,1014.4,27.5,25.3,23.6,21.8,19.8,73,3.1,56,6.2,080,28,26.3,26.6
19,20 Oct,1014.6,27.3,25.1,23.4,21.7,19.7,73,2.8,55,6.4,080,29,26.2,26.5
20,21 Oct,1014.8,27.2,24.9,23.2,21.5,19.4,72,2.5,53,6.7,080,29,26.1,26.3
21,22 Oct,1015.0,27.1,24.8,23.0,21.3,19.3,72,2.4,52,6.7,080,28,25.9,26.2
22,23 Oct,1015.1,27.0,24.7,22.9,21.2,19.2,72,1.5,53,6.7,080,28,25.8,26.1
23,24 Oct,1015.2,26.9,24.6,22.8,21.1,19.0,72,1.3,54,6.7,080,28,25.7,26.0
24,25 Oct,1015.3,26.8,24.4,22.7,20.9,18.8,72,1.4,57,6.4,080,28,25.6,25.9
25,26 Oct,1015.4,26.6,24.3,22.6,20.9,18.8,72,1.6,58,6.2,080,28,25.5,25.8
26,27 Oct,1015.6,26.5,24.2,22.4,20.8,18.7,72,1.7,59,6.0,080,28,25.5,25.8
27,28 Oct,1015.8,26.3,24.0,22.2,20.6,18.5,72,2.1,57,6.2,080,28,25.4,25.7
28,29 Oct,1016.1,26.2,23.9,22.0,20.4,18.2,72,1.6,54,6.3,080,28,25.3,25.6
29,30 Oct,1016.4,26.1,23.7,21.9,20.2,17.9,71,1.4,52,6.5,080,27,25.2,25.5
30,31 Oct,1016.7,25.8,23.6,21.7,19.9,17.5,70,1.2,52,6.5,080,28,25.1,25.4
31,Observed at,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,king's park,Waglan Island,Waglan Island,North Point,North Point
